ItemID,Matcode,MaterialDescription,MRP,CaseCount,EAN,SubCategory,Brand,Category,BrandImgURL,ProductImgURL,ProductDiscountPercentage,CategoryImageURL,SubCategoryImageURL,VAT,SupplierBusinessName,LeadTimeForDelivery,10 lacs price,>10 lacs price
0,82244885,ARIEL LAUP WD 1KGX12 MATIC D+,235,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
0,82237538,ARIEL LAUP WD 1KGX12 MATIC D+ CNT FRE PC,235,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82209598,82230256,ARIEL LAUP WD 1KGX12 MATIC D+,230,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82209598,82232924,ARIEL LAUP WD 1KGX12 MATIC D+,230,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82224007,82233397,ARIEL LAUP WD 1KGX12 MATIC D+ PRO PC,230,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82224007,82233112,ARIEL LAUP WD 1KGX12 MATIC D+ PRO PC ,230,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82226041,82225060,ARIEL MATIC 1KGX12 CONT FREE,230,12,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82208780,82232520,ARIEL LAU PWD 1KGX24 2IN1 D+ PC,205,24,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82208784,82230120,ARIEL LAU PWD 1KGX24 C&S D+ PC,185,24,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
82208776,82230122,ARIEL LAU PWD 1KGX24 MB D+ PC,185,24,4.90E+12,Laundry,Ariel,Household,/appcontent/images/brand/brand-ariel.jpg,/appcontent/images/brand/brand-ariel.jpg,11,/appcontent/images/category/households.png,/appcontent/images/category/Households/cleaning.png,14.5,Prestige Pursuits,3-4 days,,
