Item ID,Matcode,Material Description,MRP,CaseCount,EAN,SubCategory,Brand,Category,10 lacs price,>10 lacs price,,,,,,,,,,,,,,,,
82154265,82221498,FUS CRT 8 1400INR 1CSX240IT*8X12X20,1400,240,4902430629485,B&R,Gillette,Personal Care,1190,1092,,,,,,,,,,,,,,,,
82174798,82203419,FUSION POWER CRT 8 1399INR 8X12X20,1399,240,4902430565295,B&R,Gillette,Personal Care,1189.15,1091.22,,,,,,,,,,,,,,,,
82154265,82207013,FUS CRT 8 1299INR 1CSX240IT*8X12X20,1299,240,4902430578097,B&R,Gillette,Personal Care,1104.15,1013.22,,,,,,,,,,,,,,,,
0,82231515,MACH3 CRT 12 1060INR 1CSX60IT*12X10X6 ,1060,60,4902430658270,B&R,Gillette,Personal Care,901,826.8,,,,,,,,,,,,,,,,
82233435,82234248,FUSPG BASE CART 4 RF 999INR 4X10X6,999,60,4902430665476,B&R,Gillette,Personal Care,849.15,779.22,,,,,,,,,,,,,,,,
82133700,82190792,BUY12 MACH3 CART 12S 975INR 12X10X6,975,60,4902430563659,B&R,Gillette,Personal Care,828.75,760.5,,,,,,,,,,,,,,,,
82233150,82231559,M3T CRT 8 975INR 1CSX200IT*8X10X20,975,200,4902430658454,B&R,Gillette,Personal Care,828.75,760.5,,,,,,,,,,,,,,,,
82174797,82221495,FUSPOW CRT 4 870INR 1CSX60IT*4X10X6,870,60,4902430629461,B&R,Gillette,Personal Care,739.5,678.6,,,,,,,,,,,,,,,,
82218938,82218836,VS RZ 1UP+CT4+SP 195G SEN BP 849INR-1X6,849,6,4902430618991,B&R,Gillette,Personal Care,721.65,662.22,,,,,,,,,,,,,,,,
82154261,82232901,FUS CRT 4 840INR 1CSX60IT*4X10X6,840,60,4902430661768,B&R,Gillette,Personal Care,714,655.2,,,,,,,,,,,,,,,,
82157506,82190829,BOGS M3T8 M3T2 FREE 829INR 10X10X20,829,200,4902430527095,B&R,Gillette,Personal Care,704.65,646.62,,,,,,,,,,,,,,,,
82219089,82219039,FSPW RZ+TGS 50ML ART+SH 200ML 799INR-1X6,799,6,4902430620239,B&R,Gillette,Personal Care,679.15,623.22,,,,,,,,,,,,,,,,
82154261,82221499,FUS CRT 4 790INR 1CSX60IT*4X10X6,790,60,4902430629492,B&R,Gillette,Personal Care,671.5,616.2,,,,,,,,,,,,,,,,
82237990,82234756,MACH3 8+ M3 70G GEL 730INR - 9X6X4,730,24,4902430668132,B&R,Gillette,Personal Care,620.5,569.4,,,,,,,,,,,,,,,,
75075684,82190801,MACH3 CRT 8 730INR 1CSX200IT*8X10X20,730,200,4902430563635,B&R,Gillette,Personal Care,620.5,569.4,,,,,,,,,,,,,,,,
82227295,82225616,FS RZR TMR RF+FS CRT 2 699 INR-1X6,699,6,4902430642323,B&R,Gillette,Personal Care,594.15,545.22,,,,,,,,,,,,,,,,
0,82231210,M3 TURBO CRT4 610INR 1CSX400IT*4X10X40,610,400,4902430657310,B&R,Gillette,Personal Care,518.5,475.8,,,,,,,,,,,,,,,,
82208724,82208631,FS RAZOR TMR RF + CRT 2 599 INR BP-1X6,599,6,4902430585873,B&R,Gillette,Personal Care,509.15,467.22,,,,,,,,,,,,,,,,
82233324,82233223,MACH3 TRBO RAZ+GEL70G+CRT2 MRP599 1X6,599,6,4902430662826,B&R,Gillette,Personal Care,509.15,467.22,,,,,,,,,,,,,,,,
82233324,82239904,MACH3 TURBO RAZ+GEL70G+CRT2 1X6,599,6,4902430662826,B&R,Gillette,Personal Care,509.15,467.22,,,,,,,,,,,,,,,,
82220306,82230524,M3T CRT 4 580INR 1CSX400IT*4X10X40,580,400,4902430655194,B&R,Gillette,Personal Care,493,452.4,,,,,,,,,,,,,,,,
82147317,82190660,MACH3 TURBO SENS 4 CRT 580INR 4X10X40,580,400,4902430563734,B&R,Gillette,Personal Care,493,452.4,,,,,,,,,,,,,,,,
0,82233220,VENUS RAZ 1UP+CRT2+GEL195G 1X6,549,6,4902430662772,B&R,Gillette,Personal Care,466.65,428.22,,,,,,,,,,,,,,,,
0,82234801,FUSPG MNL CART 2CT 525INR 1X10X4,525,40,4902430668323,B&R,Gillette,Personal Care,446.25,409.5,,,,,,,,,,,,,,,,
75075684,82133825,MACH3 CRT 8 500INR (1CSX200IT),500,200,7702018009947,B&R,Gillette,Personal Care,425,390,,,,,,,,,,,,,,,,
82233325,82233221,MACH3 RAZ 1UP+GEL70G+CRT2 1X6,499,6,4902430662789,B&R,Gillette,Personal Care,424.15,389.22,,,,,,,,,,,,,,,,
82233436,82234692,PROGLIDE 376 MANUAL 1UP 499INR 1X6X4,499,24,4902430667715,B&R,Gillette,Personal Care,424.15,389.22,,,,,,,,,,,,,,,,
82174796,82203490,FUSPOW CRT 2 499INR 1CSX200IT*2X10X20,499,200,4902430565462,B&R,Gillette,Personal Care,424.15,389.22,,,,,,,,,,,,,,,,
82202889,82221487,VENUS CRT 4 475INR 4X10X4,475,40,4902430629393,B&R,Gillette,Personal Care,403.75,370.5,,,,,,,,,,,,,,,,
82154262,82232900,FUS CRT 2 465INR 1CSX200IT*2X10X20,465,200,4902430661744,B&R,Gillette,Personal Care,395.25,362.7,,,,,,,,,,,,,,,,
82174800,82213159,FUSPOW RAZOR TMR 460INR 1CSX24IT*1X4X6,460,24,4902430640244,B&R,Gillette,Personal Care,391,358.8,,,,,,,,,,,,,,,,
0,82231204,406 MACH3 CRT4 455INR 1CSX400IT*4X10X40,455,400,4902430657198,B&R,Gillette,Personal Care,386.75,354.9,,,,,,,,,,,,,,,,
82202889,82203471,VENUS CRT 4 449INR 4X10X4,449,40,3014260262709,B&R,Gillette,Personal Care,381.65,350.22,,,,,,,,,,,,,,,,
82202889,82202862,VENUS CRT4 449INR 4X10X4,449,40,3014260262709,B&R,Gillette,Personal Care,381.65,350.22,,,,,,,,,,,,,,,,
75063611,82181484,BOGS SNSR 5 1FREE 449INR 1CSX240*6X12X20,449,240,4902430478755,B&R,Gillette,Personal Care,381.65,350.22,,,,,,,,,,,,,,,,
75019830,82181479,SENSR EXCL CRT5 449INR 1CSX400IT*5X20X20,449,400,4902430478731,B&R,Gillette,Personal Care,381.65,350.22,,,,,,,,,,,,,,,,
